,Unnamed: 0,train,val,test
0,0,tumor_010,normal_081,test_079
1,1,tumor_052,normal_030,test_032
2,2,tumor_084,normal_047,test_031
3,3,normal_054,normal_025,test_103
4,4,tumor_085,normal_017,test_056
5,5,normal_063,tumor_023,test_105
6,6,normal_132,tumor_029,test_009
7,7,normal_055,tumor_025,test_107
8,8,normal_153,tumor_012,test_083
9,9,normal_131,normal_100,test_020
10,10,normal_147,normal_059,test_010
11,11,tumor_024,tumor_079,test_101
12,12,normal_067,normal_079,test_102
13,13,tumor_111,normal_043,test_013
14,14,normal_069,tumor_004,test_004
15,15,tumor_067,tumor_054,test_096
16,16,normal_160,tumor_060,test_018
17,17,tumor_037,normal_085,test_070
18,18,tumor_081,tumor_075,test_062
19,19,tumor_038,tumor_104,test_072
20,20,tumor_073,normal_105,test_087
21,21,normal_125,tumor_072,test_100
22,22,normal_072,tumor_103,test_006
23,23,normal_056,tumor_030,test_119
24,24,tumor_110,normal_096,test_111
25,25,tumor_091,tumor_056,test_076
26,26,normal_066,tumor_063,test_055
27,27,tumor_051,,test_097
28,28,normal_077,,test_069
29,29,tumor_098,,test_043
30,30,normal_087,,test_064
31,31,normal_114,,test_089
32,32,normal_101,,test_017
33,33,normal_115,,test_110
34,34,tumor_050,,test_114
35,35,tumor_065,,test_078
36,36,normal_143,,test_022
37,37,normal_128,,test_023
38,38,normal_032,,test_104
39,39,tumor_105,,test_048
40,40,normal_005,,test_068
41,41,normal_092,,test_080
42,42,normal_045,,test_118
43,43,normal_107,,test_082
44,44,normal_037,,test_024
45,45,tumor_003,,test_047
46,46,tumor_005,,test_060
47,47,tumor_080,,test_057
48,48,normal_094,,test_063
49,49,normal_083,,test_127
50,50,normal_013,,test_112
51,51,normal_011,,test_091
52,52,tumor_002,,test_027
53,53,normal_041,,test_075
54,54,tumor_018,,test_036
55,55,normal_141,,test_093
56,56,tumor_036,,test_003
57,57,normal_022,,test_037
58,58,tumor_044,,test_039
59,59,normal_023,,test_108
60,60,tumor_071,,test_005
